CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A101;A102_01;A201;A202;A203;A204;A301;A401;A402;A403;A404;A405;A501_01;A502;A601;A602;A701;A901_01;A902;A903;A904_01;A904_02;A904_03;A904_04;A904_05;A905;A906;A907;A908;A909;A910;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
59;;;base;interview;05.03.2025 00:15;1;Fruchtbarkeit Unterstützung ;1;1;3;3;1;2;2;8;5;2;2;1;1;2;2;3;6;2;4;1;3;2;5;1;1;2;1;1;1;3;17;3;14;39;11;15;5;28;36;8;11;7;13;9;8;13;11;251;;05.03.2025 00:20;;1;0;18;18;3;2;1,73
61;;;base;interview;05.03.2025 09:05;1;Eizellen Einfrieren;1;1;3;3;1;2;2;4;1;2;2;2;5;11;1;1;6;1;5;1;4;3;2;1;1;1;1;1;1;5;22;19;41;58;15;18;15;49;46;6;16;11;31;111;10;25;8;410;;05.03.2025 09:14;;1;0;18;18;3;2;1,13
64;;;base;interview;05.03.2025 09:13;1;Nie gehört;1;3;3;3;2;5;1;2;2;1;4;1;7;13;3;2;8;3;5;2;1;4;3;1;1;1;1;1;1;4;7;119;58;37;21;24;20;343;286;59;85;11;14;20;16;85;43;516;;05.03.2025 09:34;;1;0;18;18;0;0;0,76
65;;;base;interview;05.03.2025 09:35;1;Nie gehört;1;3;3;3;2;5;1;2;2;1;3;1;7;13;3;2;8;3;5;2;1;4;3;1;1;1;1;1;1;12;11;6;46;20;15;27;11;20;41;4;7;24;18;15;13;6;7;287;;05.03.2025 09:40;;1;0;18;18;0;0;1,53
67;;;base;interview;05.03.2025 09:56;1;Schwangerschaft, Arbeitsmarkt;1;1;3;3;2;2;2;4;1;2;4;2;5;11;2;2;6;4;5;1;4;2;3;1;1;1;1;2;1;10;24;78;39;31;12;17;31;45;27;11;20;12;8;92;10;16;13;397;;05.03.2025 10:04;;1;0;18;18;3;2;1,02
68;;;base;interview;05.03.2025 10:06;1;Schwangerschaftserleichterungsgesetz, Kindergewinnungsmaßnahmen;1;1;3;3;2;2;1;4;5;2;2;2;5;9;2;1;7;3;5;1;4;2;3;1;2;1;1;1;1;11;147;28;29;21;18;10;6;32;33;10;29;23;9;9;12;17;9;341;;05.03.2025 10:14;;1;0;18;18;0;0;1,14
71;;;base;interview;05.03.2025 10:12;1;Vorteile ;1;1;3;1;2;2;1;4;1;2;4;3;5;11;2;2;8;3;5;3;4;1;2;1;1;1;1;1;1;13;14;51;64;23;12;10;7;37;73;7;56;21;28;7;19;9;10;461;;05.03.2025 10:20;;1;0;18;18;0;0;1,11
73;;;base;interview;05.03.2025 10:32;1;Kinderwunsch ;1;1;3;3;2;2;1;4;1;2;4;1;5;11;2;2;9;3;5;1;3;2;4;1;1;2;1;1;1;8;23;9;24;13;9;12;4;21;26;4;6;10;8;6;11;6;20;220;;05.03.2025 10:36;;1;0;18;18;0;0;1,85
74;;;base;interview;05.03.2025 12:06;1;Elternschaft Privileg;1;1;3;3;2;2;1;4;1;2;4;3;5;11;2;2;7;3;5;2;4;3;1;1;1;1;1;1;1;11;32;72;59;21;14;12;7;46;110;19;19;15;10;14;12;13;6;492;;05.03.2025 12:14;;1;0;18;18;3;2;1,05
75;;;base;interview;05.03.2025 12:13;1;Vorteile bei Kinderwunsch durch ein Unternehmen;1;1;3;3;2;2;2;5;5;2;2;1;1;11;2;4;1;4;4;1;3;2;5;1;1;2;1;1;1;234;90;52;20;37;39;8;5;42;90;1657;22;6;12;9;6;6;3;443;;05.03.2025 12:52;;1;0;18;18;3;2;1,27
